100aC;100aS;100eC;100eS;100dC;100dS;120C;120S;130C;130S;150aC;150aS;150bC;150bS;150cC;150cS;200aC;200aS;200bC;200bS;202C;202S;535aC;535aS;1000C;1000S;1323C;1323S;1400C;1400S;1748C;1748S;1889C;1889S;2392C;2392S;3038C;3038S;3795C;3795S;5934C;5934S;7397C;7397S
21606;22494;22516;22414;22897;21517;16315;16789;62301;63635;65939;68230;28471;28473;27062;26502;30726;30928;30469;30906;41889;41965;223606;229067;19687725,22;20246835,01;282337,3178;296583,7261;32644,01543;35204,22886;35207;35727;343894,1527;346074,4935;398306,306;423637,8999;145874,596;151555,8978;48537;46087;63300;63562;39201;30804
21945;21710;22772;23193;21391;21481;16721;16791;62320;63673;68074;67261;27876;26690;27194;27251;30449;30481;30970;30987;41796;43929;221823;232180;20088823,25;20200562,93;282901,5779;290120,8398;33847,56542;32556,63663;35875;35220;337703,5177;343493,3991;399855,2709;422784,3399;145155,1569;149861,4502;56390;55889;62687;60413;41354;27947
21765;21900;22212;22747;21984;22231;17016;16871;64899;62827;68786;66653;27429;27377;26815;26327;30434;31105;31043;30759;43019;42300;237451;225405;20333444,59;20552515,89;283568,3028;294833,0902;34673,25539;30854,5719;36078;35337;356191,5976;344578,8709;400889,6069;420845,6681;145924,9264;151632,3893;55086;52945;64147;60511;43509;26753
23090;21979;23983;24301;22249;22510;16825;17292;63349;62576;68526;68240;27953;27369;26959;27222;29417;30392;31385;30646;41695;44795;224393;225264;19787355,73;20309852,5;289229,8124;288135,7417;31210,69882;28440,07408;35685;35419;341456,6932;341277,3384;403979,238;417841,0612;146020,2138;148435,2284;54452;60856;61572;60340;37471;27954
21813;21628;22452;23125;21924;21936;16782;16825;63061;64208;69999;68568;27169;28265;26739;27074;30606;30615;30155;31052;42063;42670;226912;220295;19862859,73;19657254,41;290171,0752;287312,8049;29905,09928;30198,25529;35814;35893;347967,8496;346809,8588;399513,8452;406233,6529;145945,1361;146713,2863;64281;59812;62346;61010;42214;28123
22125;22069;22325;22964;22229;21791;17903;16545;63749;62984;69487;66535;27654;27656;27758;26475;30080;30271;30342;31226;42432;42517;213995;227027;20096116,58;19681486,8;285413,9635;288997,711;37822,87998;29462,18562;35828;35244;355131,3512;331243,2105;398261,93;429072,5489;144962,7219;147384,222;53966;55884;62848;61753;38121;27249
22080;21621;23213;22654;22069;22730;16718;16638;61825;62997;67719;67799;27031;27999;26623;27674;29860;30877;31567;31163;40936;43252;213097;233461;20159605,14;20379001,61;292005,5313;290496,5597;33717,78242;29469,64081;36142;35278;350448,5152;343241,7894;404639,8851;412189,4118;146371,6633;147221,9749;58550;56738;61060;62037;42221;28857
21545;21382;22412;23249;21963;22780;16641;17135;64028;64843;66713;68950;28331;28002;27044;27440;29574;31220;31127;30904;42101;43893;230170;240880;19756965,25;19867210,05;286321,7478;293792,6263;31361,2224;28199,52519;37398;35251;337671,7913;339050,1691;403228,6111;419192,5687;145449,6181;147607,2518;49567;47776;62810;61146;39194;28123
21390;22587;22453;23872;22291;21842;16650;16804;62591;63094;67802;68870;27476;27658;26979;26936;30218;30058;31099;30389;41866;44566;236479;236404;19846482,66;19898491,93;282188,9719;290928,1992;36158,53185;28707,16202;36363;35805;340362,0113;339964,8249;400205,9704;418749,3273;145423,2191;152507,5908;54011;47994;63489;62050;43041;29741
21381;21778;22387;22490;21886;21689;16449;16615;62545;62253;67322;70039;27570;27326;27003;27095;30723;30668;30549;31329;42732;47717;233721;235265;20434866,35;19796429,24;291469,375;281377,8633;30486,41902;32091,52129;37208;35925;356222,3066;339762,1934;399401,5828;412288,3153;146428,0047;147318,0807;50946;47492;63535;60368;42588;28483
21480;22202;22339;23789;21873;21411;16906;17071;62511;65090;66528;68336;27079;27425;26668;27502;30438;30238;30949;30668;40945;41719;225255;236002;19652864,94;19686681,42;282766,5091;287242,7916;35770,6467;33067,69516;35839;35890;340993,4316;352030,6677;403432,6336;412919,1797;146040,773;148786,6504;49270;57109;63240;61772;45666;29464
22275;21964;22660;22882;21646;21466;17668;18018;63118;61925;67953;67505;26744;27847;27172;27313;30243;31082;30843;31142;42261;42113;219221;219173;19750237,69;20224601,02;288565,9484;287482,028;32375,95168;31843,06434;36460;35724;343637,3629;347546,4706;399999,5786;435828,931;145878,4359;146464,7686;45281;51120;62710;61464;46962;29601
22170;22018;23180;22792;22618;22642;16746;16899;62523;62417;66845;68372;27316;27348;26443;26289;30235;30408;30426;30517;41296;43163;218591;236173;19722902,17;20361366,64;286299,7552;280199,5768;33159,94491;24567,35571;38363;35089;341283,5325;338247,8353;402339,369;413600,4048;144877,2775;147753,2129;50730;54230;62063;60585;42948;30159
22804;21946;22936;23333;22079;22115;16535;16586;64157;61581;66449;68799;27430;27436;26935;26686;30335;30180;31126;29990;41404;41768;219779;224671;19919351,35;20680210,93;286761,2039;292623,8206;29879,59221;25055,79291;35796;35704;353810,0325;353108,8012;402656,9445;430405,0446;145075,9211;149719,3243;55882;55807;64001;61606;40031;28806
22341;22034;22910;22744;21889;21811;17746;16562;63457;63335;69771;69070;27633;27716;27134;26885;31572;30665;30678;30393;41153;41641;218323;219220;19925315,25;20109031,73;282594,9198;290385,8317;32779,43497;29765,79058;36113;35909;335069,8993;340156,7306;403320,3053;424866,6229;145493,3108;147999,418;48097;54757;60347;61469;44384;30922
